Rank,Artist,Album,Date,Genres,RYM Rating,Ratings,RYM Ratings,Reviews
77,Sonny Terry,Sonny Terry's Washboard Band,1955,"Piedmont Blues, Jug Band",3.65,39,,1
78,Elizeth Cardoso,Canções à meia luz,1955,Samba-canção,3.79,NA,NA,NA
79,Tony Fruscella,Tony Fruscella,1955,Cool Jazz,3.5,128,,1
80,Stan Getz,Quartets,1955,"Cool Jazz, Bebop",3.54,89,,3
81,Hank Mobley Quartet,Hank Mobley Quartet,Oct-55,"Hard Bop, Jazz",3.58,NA,NA,NA
82,Bobby Jaspar,Memory of Dick,27-Dec-55,"Jazz, Cool Jazz",3.8,NA,NA,NA
83,Clifford Brown,Clifford Brown With Strings,Apr-55,"Cool Jazz, Hard Bop",3.51,170,,7
84,Trío Los Panchos,Canciones del corazon,1955,Bolero,3.79,NA,NA,NA
85,Benny Goodman,The Benny Goodman Story,1955,"Big Band, Swing",3.56,60,,1
86,Chet Baker,Chet Baker Quartet Vol. 1,1955,"Hard Bop, Bebop",3.7,35,,2
87,Barney Kessel,"Barney Kessel, Vol. 2: Kessel Plays Standards",1955,"Standards, Cool Jazz, Jazz",3.54,65,,1
88,Oscar Pettiford,"Oscar Pettiford, Volume 2",Dec-55,Bebop,3.64,33,,2
89,Boston Symphony Orchestra / Pierre Monteux,Pathétique Symphony,1955,"Romanticism, Symphony",3.72,30,,1
90,Tito Puente and His Orchestra,Mamborama,1955,Mambo,3.74,NA,NA,NA
91,Gigi Gryce,Gigi Gryce,1955,"Hard Bop, Vocal Jazz",3.54,58,,1
92,Serge Chaloff,Boston Blow-Up!,1955,Bebop,3.62,NA,NA,NA
93,The Vienna Philharmonic Orchestra / Hans KnappertsbuschWiener PhilharmonikerHans Knappertsbusch,Symphony No.4 in E Flat Major (Romantic) / Siegfried Idyll,1955,"Romanticism, Symphony",3.83,NA,NA,NA
94,Erroll Garner,Solitaire,1955,"Standards, Stride",3.68,NA,NA,NA
95,Dresden Staatskapelle / Franz Konwitschny / David OistrakhSächsische Staatskapelle DresdenFranz KonwitschnyДавид Ойстрах [David Oistrakh],"Concerto for Violin, op. 35",1955,"Romanticism, Concerto",3.74,NA,NA,NA
96,Shorty Rogers / André Previn,Collaboration,Jan-55,"Cool Jazz, Bebop, Hard Bop",3.76,NA,NA,NA
97,Frank Morgan,Frank Morgan,1955,Afro-Cuban Jazz,3.53,NA,NA,NA
98,Shelly Manne & His Men,"Shelly Manne and His Men, Volume 1: The West Coast Sound",1955,"Cool Jazz, Bebop",3.55,41,,2
99,Doris Day,Day Dreams,1955,Traditional Pop,3.78,17,,1
100,Miles Davis,Blue Moods,1955,Cool Jazz,3.39,833,,30
101,Jo Jones,Jo Jones Special,1955,Hard Bop,3.77,NA,NA,NA
102,Doris Day,Love Me or Leave Me,2-May-55,"Film Soundtrack, Standards",3.53,48,,1
103,Lennie Niehaus,"Lennie Niehaus, Vol. 3: The Octet, Pt. 2",1955,"Cool Jazz, Hard Bop",3.65,NA,NA,NA
104,Kenny Clarke,Bohemia After Dark,Nov-55,Hard Bop,3.46,76,,1
105,Jack Montrose,Jack Montrose Sextet,1955,"Cool Jazz, Bebop",3.63,NA,NA,NA
106,Carmen McRae,Carmen McRae,Apr-55,"Vocal Jazz, Jazz",3.55,35,,1
107,Julian Cannonball Adderley,Julian Cannonball Adderley,1955,"Jazz, Hard Bop",3.48,81,,1
108,Pérez Prado & Shorty Rogers,Voodoo Suite (Plus Six All-Time Greats),1955,"Mambo, Afro-Cuban Jazz",3.42,135,,4
109,Peggy Lee,Rendezvous With Peggy Lee,1955,"Vocal Jazz, Standards",3.49,50,,2
110,Bud Powell,Jazz Original,1955,"Jazz, Bebop",3.7,NA,NA,NA
111,Dorival Caymmi,Sambas,1955,"Samba-canção, Singer/Songwriter",3.48,NA,NA,NA
112,Buddy DeFranco and Oscar PetersonBuddy DeFrancoOscar Peterson,Buddy DeFranco and Oscar Peterson Play George Gershwin,1955,"Jazz, Progressive Big Band, Standards",3.51,47,,1
113,Ella Fitzgerald,Sweet and Hot,1955,"Standards, Traditional Pop",3.53,39,,1
114,Don Shirley,Piano Perspectives,1955,Cool Jazz,3.44,69,,1
115,Bob Brookmeyer,The Dual Role of Bob Brookmeyer,1955,Jazz,3.78,NA,NA,NA
116,Rodgers & Hammerstein,Oklahoma!,1955,"Film Soundtrack, Show Tunes",3.36,94,,3
117,Brownie McGhee,Brownie McGhee Blues,1955,"Piedmont Blues, Acoustic Blues",3.49,45,,1
118,Elmo Hope Trio,Meditations,1955,Jazz,3.54,32,,1
119,Tony Bennett,Cloud 7,25-Feb-55,"Vocal Jazz, Standards",3.47,48,,2
120,The Almanac Singers,The Original Talking Union & Other Union Songs,1955,"American Folk Music, Contemporary Folk",3.41,57,,4
1,Glenn Gould,The Goldberg Variations,1-Mar-56,Baroque Music,3.9,2375,,36
2,Ella Fitzgerald,Ella Fitzgerald Sings the Cole Porter Song Book,15-May-56,"Vocal Jazz, Standards",3.86,1471,,41
3,The Charlie Mingus Jazz Workshop,Pithecanthropus Erectus,Jul-56,Post-Bop,3.85,4287,,61
4,Chicago Symphony Orchestra / Fritz Reiner,Concerto for Orchestra,Apr-56,"Modern Classical, Orchestral",3.85,828,,7
5,Ella Fitzgerald & Louis Armstrong,Ella and Louis,Oct-56,Vocal Jazz,3.81,2012,,31
6,Billie Holiday,Lady Sings the Blues,Dec-56,"Vocal Jazz, Standards",3.81,1589,,17
7,Clifford Brown & Max Roach,At Basin Street,1956,Hard Bop,3.83,664,,7
8,Ella Fitzgerald,Ella Fitzgerald Sings the Rodgers and Hart Song Book,1956,"Vocal Jazz, Standards",3.8,475,,12
9,Ravi Shankar,Music of India: Three Classical Rāgas,1956,Hindustani Classical Music,3.78,1748,,22
10,Georges Brassens,N° 4 [Je me suis fait tout petit],Mar-56,Chanson à texte,3.82,176,,5
11,The Jazz Messengers,The Jazz Messengers,Nov-56,Hard Bop,3.76,817,,8
12,Frank Sinatra,Songs for Swingin' Lovers!,5-Mar-56,"Standards, Vocal Jazz",3.72,2495,,72
13,Sonny Rollins,Plus 4,1956,Hard Bop,3.75,537,,12
14,Johnny Burnette & The Rock 'n Roll Trio,Johnny Burnette and the Rock 'n Roll Trio,1956,Rockabilly,3.73,646,,14
15,Elmer Bernstein,The Man With the Golden Arm,Feb-56,Film Score,3.81,92,,1
16,Chet Baker,Chet Baker Quartet Vol. 2,1956,"Cool Jazz, Standards",3.85,63,,3
17,Lester Young & Harry Edison,Pres & Sweets,Sep-56,Swing,3.84,65,,2
18,Bud Powell,The Genius of Bud Powell,1956,Bebop,3.78,114,,3
19,Sister Rosetta Tharpe,Gospel Train,1956,"Traditional Black Gospel, Blues",3.71,594,,8
20,Orchestra del Teatro alla Scala / Coro del Teatro alla Scala / Tullio Serafin / Maria Callas / Tito Gobbi,Rigoletto,1956,"Opera, Romanticism",3.8,56,,5
21,Serge Chaloff,Blue Serge,1956,"Hard Bop, Cool Jazz",3.74,212,,3
22,Sonny Rollins Quartet,Tenor Madness,Nov-56,Hard Bop,3.7,771,,17
23,Wiener Symphoniker / Karl Böhm / Teresa Stich-Randall / Ira Malaniuk / Waldemar Kmentt / Kurt Böhme,Requiem,1956,"Classical Period, Choral, Christian Liturgical Music",3.85,NA,NA,NA
24,Stan Getz,Stan Getz Plays,1956,Cool Jazz,3.73,193,,2
25,Orchestra del Teatro alla Scala / Coro del Teatro alla Scala / Tullio Serafin / Maria Callas / Richard Tucker,Aida,1956,"Opera, Romanticism",3.88,34,,1
26,"Lester Young, Teddy Wilson, Roy Eldridge, Vic Dickenson, Jo Jones, Freddie Green & Gene Ramey",The Jazz Giants '56,1956,Cool Jazz,3.76,94,,4
27,Odetta,Odetta Sings Ballads and Blues,1956,"Contemporary Folk, Country Blues",3.67,541,,13
28,Various Artists,My Fair Lady,2-Apr-56,Show Tunes,3.71,131,,2
29,Boris Vian,Chansons possibles et impossibles,1956,"Chanson à texte, Chanson",3.66,372,,5
30,Art Tatum,"The Tatum Group Masterpieces, Vol. 7",1956,Jazz,3.88,NA,NA,NA
31,Rev. Gary Davis / Pink Anderson,American Street Songs,1956,"Piedmont Blues, Country Blues",3.76,60,,1
32,Russ Freeman / Chet Baker,Quartet,1956,"Cool Jazz, Hard Bop, Bebop",3.71,120,,2
33,Gene Ammons,Hi Fidelity Jam Session,1956,"Bebop, Jazz",3.75,69,,3
34,Shelly Manne & His Friends,Shelly Manne and His Friends,1956,Bebop,4.03,NA,NA,NA
35,Porter Wagoner,Satisfied Mind,1956,Country,3.84,33,,3
36,Louis Prima,The Wildest!,1-Oct-56,"Swing, Traditional Pop, Big Band",3.63,1137,,28
37,Sonny Rollins,Work Time,1956,Hard Bop,3.67,251,,3
38,Phineas Newborn Jr.,Here Is Phineas: The Piano Artistry of Phineas Newborn Jr.,1956,"Hard Bop, Jazz",3.67,131,,7
39,Johnny Hartman,Songs From the Heart,Mar-56,"Vocal Jazz, Standards",3.7,98,,5
40,El Niño de Ronda,The Real Flamenco,1956,Flamenco,3.84,32,,1
41,Johnny Smith featuring Stan GetzJohnny SmithStan Getz,Moonlight in Vermont,Sep-56,Cool Jazz,3.67,148,,4
42,Tito Puente and His Orchestra,Cuban Carnival,1956,"Afro-Cuban Jazz, Mambo, Cuban Music",3.71,87,,2
43,Teddy Charles,Collaboration: West,1956,Bebop,3.79,43,,1
44,Hampton Hawes,Vol. 3: The Trio,1956,Jazz,3.83,39,,1
45,Various Artists,Music on the Desert Road,1956,West Asian Folk Music,4.03,NA,NA,NA
46,The Modern Jazz Sextet,The Modern Jazz Sextet,1956,Jazz,3.78,40,,2
47,Cal Tjader Quintet,Cal Tjader Quintet,1956,"Latin Jazz, Cool Jazz",3.91,NA,NA,NA
48,Gene Vincent and His Blue Caps,Bluejean Bop!,23-Aug-56,"Rockabilly, Rock & Roll",3.61,404,,15
49,Chico Hamilton Quintet,Chico Hamilton Quintet in Hi Fi,1956,"Cool Jazz, Chamber Jazz",3.73,72,,3
50,Paul Chambers Sextet,Whims of Chambers,Dec-56,Hard Bop,3.65,201,,6
51,Thelonious Monk,The Unique,Aug-56,Hard Bop,3.64,269,,4
52,Kenny Burrell,Introducing Kenny Burrell,Sep-56,Bebop,3.65,152,,5
53,Shelly Manne & His Friends,Modern Jazz Performances of Songs From My Fair Lady,Sep-56,"Cool Jazz, Show Tunes",3.68,87,,1
54,Elvis Presley,Elvis,19-Oct-56,Rock & Roll,3.57,1355,,37
55,Tal Farlow,Tal,1956,"Jazz, Bebop",3.75,NA,NA,NA
56,Gene Ammons,All-Star Sessions,1956,"Jazz, Bebop",3.81,NA,NA,NA
57,Beverly Kenney,Come Swing With Me,1956,"Vocal Jazz, Standards, Swing",3.86,29,,1
58,Lennie Tristano,Lennie Tristano,Feb-56,"Cool Jazz, Bebop",3.6,564,,10
59,Herbie Nichols Trio,Herbie Nichols Trio,Oct-56,Bebop,3.64,116,,3
60,Julie London,Lonely Girl,Jun-56,"Vocal Jazz, Standards",3.62,140,,1
61,The Incredible Jimmy Smith,"Jimmy Smith at the Organ, Vol. 3",Oct-56,"Jazz, Hard Bop, Soul Jazz",3.74,49,,1
62,Count Basie & Joe Williams,Count Basie Swings - Joe Williams Sings,1956,"Vocal Jazz, Big Band, Standards, Swing",3.63,143,,5
63,Oscar Peterson,Oscar Peterson Plays Count Basie,1956,"Jazz, Bebop",3.79,34,,1
64,June Christy,The Misty Miss Christy,1956,"Traditional Pop, Standards",3.66,73,,1
65,Hampton Hawes,"This Is Hampton Hawes, Vol. 2: The Trio",May-56,Jazz,3.76,40,,2
66,The Modern Jazz Quartet,Fontessa,1956,Cool Jazz,3.59,559,,10
67,Laurindo de Almeida e Radamés GnattaliLaurindo AlmeidaRadamés Gnattali,Suite popular brasileira para violão e piano,1956,Cool Jazz,4.02,NA,NA,NA
68,Kenny Drew,The Kenny Drew Trio,1956,Hard Bop,3.68,NA,NA,NA
69,Merle Travis,The Merle Travis Guitar,1956,Western Swing,3.7,NA,NA,NA
70,Elvis Presley,Elvis Presley,13-Mar-56,Rock & Roll,3.52,5081,,131
71,Joe Turner,The Boss of the Blues: Joe Turner Sings Kansas City Jazz,Aug-56,Rhythm & Blues,3.62,109,,4
72,John Lewis,Grand Encounter: 2° East / 3° West,1956,Cool Jazz,3.66,NA,NA,NA
73,Jackie McLean,"4, 5 and 6",Nov-56,Hard Bop,3.65,112,,3
74,Dizzy Gillespie,World Statesman,Nov-56,"Jazz, Big Band",3.7,NA,NA,NA
75,Clifford Brown,Jazz Immortal,1956,"Hard Bop, Jazz",3.62,120,,2
76,Warne Marsh,Jazz of Two Cities,Sep-56,"Cool Jazz, Bebop",3.67,54,,2
77,Cannonball Adderley,In the Land of Hi-Fi,1956,Hard Bop,3.72,49,,3
78,Pete Seeger,Love Songs for Friends and Foes,1956,Contemporary Folk,3.67,42,,3
79,The Jackie McLean Quintet with Donald Byrd and Elmo Hope,Lights Out!,Jun-56,Hard Bop,3.63,115,,7
80,The Teddy Charles Tentet,The Teddy Charles Tentet,1956,"Post-Bop, Cool Jazz",3.65,79,,4
81,Jon Eardley,Jon Eardley 7,1956,Bebop,3.83,25,,2
82,Sarah Vaughan,In the Land of Hi-Fi,1956,"Vocal Jazz, Big Band",3.59,112,,2
83,Moondog,Moondog,1956,"Third Stream, Avant-Folk",3.53,1600,,26
84,John Lewis & Sacha Distel,Afternoon in Paris,1956,"Cool Jazz, Bebop",3.68,50,,1
85,Donald Byrd,Byrd's Eye View,1956,Hard Bop,3.71,48,,1
86,Gene Ammons All Stars,Jammin' With Gene,Oct-56,Jazz,3.8,NA,NA,NA
87,Duke Ellington,Duke Ellington Presents...,1956,Big Band,3.71,44,,1
88,Helmut Walcha,"Die Kunst der Fuge, BWV 1080",1956,Baroque Music,3.59,NA,NA,NA
89,Gene Krupa,Drummer Man,1956,"Big Band, Vocal Jazz, Swing",3.63,65,,1
90,Jimmy Giuffre,The Jimmy Giuffre Clarinet,1956,"Cool Jazz, Third Stream, Chamber Jazz",3.55,185,,2
91,Kitty Wells,Country Hit Parade,1956,Traditional Country,3.65,49,,1
92,Art Farmer Quintet,Art Farmer Quintet,Jul-56,Hard Bop,3.69,NA,NA,NA
93,Various Artists,High Society,1956,"Film Soundtrack, Show Tunes",3.64,61,,2
94,Lee Wiley,West of the Moon,1956,Vocal Jazz,3.97,15,,2
95,Hoagy Carmichael,Hoagy Sings Carmichael,1956,Vocal Jazz,3.61,75,,2
96,Stan Kenton,Kenton in Hi-Fi,11-Feb-56,"Big Band, Progressive Big Band",3.58,107,,6
97,Milt Jackson / Frank Wess / Kenny Clarke / Hank Jones / Eddie Jones,Opus de Jazz,1956,Bebop,3.6,85,,3
98,RCA Victor Symphony Orchestra / Thomas Beecham / Victoria de los Ángeles / Jussi Björling,La Bohème,1956,"Opera, Romanticism",3.63,51,,1
99,The Ahmad Jamal Trio,The Ahmad Jamal Trio,1956,Cool Jazz,3.6,85,,1
100,Luiz Gonzaga,Aboios e vaquejadas,1956,"Baião, Xote",3.68,NA,NA,NA
101,Thad Jones,Detroit - New York Junction,Jun-56,Hard Bop,3.59,96,,1
102,Jimmy Smith,"A New Sound, a New Star: Jimmy Smith at the Organ, Vol. 2",May-56,Soul Jazz,3.63,NA,NA,NA
103,Ahmad Jamal,Chamber Music of the New Jazz,1956,Cool Jazz,3.55,182,,5
104,Mel Tormé,Mel Tormé With the Marty Paich Dek-tette,Apr-56,Vocal Jazz,3.63,61,,2
105,Sonny Criss,Sonny Criss Plays Cole Porter,Nov-56,"Hard Bop, Jazz, Standards",3.68,40,,1
106,Chris Connor,Chris Connor,1956,Vocal Jazz,3.57,84,,3
107,A.L. Lloyd,English Drinking Songs,1956,English Folk Music,3.67,43,,1
108,Lonnie Donegan,Lonnie Donegan Showcase,Dec-56,Skiffle,3.55,127,,5
109,Rosemary Clooney & Duke Ellington,Blue Rose,21-May-56,"Vocal Jazz, Standards, Big Band",3.55,118,,3
110,Washboard Band,Country Dance Music,1956,"Jug Band, Country Blues",3.67,28,,1
111,Guiomar Novaes,Preludes (Book 1),1956,Impressionism,3.77,NA,NA,NA
112,Dexter Gordon,Daddy Plays the Horn,Nov-56,"Hard Bop, Bebop",3.57,83,,2
113,Billie Holiday,Velvet Mood: Songs by Billie Holiday,1956,Vocal Jazz,3.57,NA,NA,NA
114,Maxine Sullivan,Leonard Feather Presents Maxine Sullivan: Vol II,30-Aug-56,Vocal Jazz,3.78,22,,1
115,Phil Woods,Pairing Off,1956,Jazz,3.7,NA,NA,NA
116,Clyde McPhatter & The Drifters,Rock & Roll: Clyde McPhatter & The Drifters,1956,"Rhythm & Blues, Doo-Wop",3.58,63,,1
117,The Ahmad Jamal Trio,Count 'Em 88,1956,"Cool Jazz, Hard Bop",3.62,NA,NA,NA
118,Bill Haley and His Comets,Rock 'n' Roll Stage Show,13-Aug-56,Rock & Roll,3.59,73,,1
119,The New Miles Davis Quintet,Miles,Apr-56,Hard Bop,3.48,471,,7
120,Bud Powell,Strictly Powell,1956,Hard Bop,3.67,NA,NA,NA
1,Sonny Rollins,Saxophone Colossus,Apr-57,Hard Bop,3.96,5426,,81
2,Thelonious Monk Septet,Monk's Music,Nov-57,Hard Bop,3.92,2915,,44
3,Thelonious Monk,Brilliant Corners,Apr-57,Hard Bop,3.87,5068,,72
4,Miles Davis,'Round About Midnight,4-Mar-57,Hard Bop,3.85,5981,,85
5,Aldo Ciccolini,Trois morceaux en forme de poire ; Heures séculaires et instantanées ; Trois nocturnes ; Trois gymnopédies ; Les trois valses distinguées du précieux dégouté ; Avant-dernières pensées ; Trois gnossiennes,1957,Impressionism,4.03,NA,NA,NA
6,Olivier Messiaen / Étienne Pasquier / Jean Pasquier / André Vacellier,Quatuor pour la fin du temps,1957,"Modern Classical, Chamber Music",3.87,198,,1
7,L'Orchestre de la Suisse romande / Ernest AnsermetOrchestre de la Suisse romandeErnest Ansermet,"Music for Strings, Percussion and Celesta",1957,Modern Classical,4.02,NA,NA,NA
8,Sonny Rollins,"Sonny Rollins, Vol. 2",Oct-57,Hard Bop,3.83,564,,14
9,Ella Fitzgerald with Duke Ellington and His Orchestra,"Ella Fitzgerald Sings the Duke Ellington Song Book, Vol. 1",1957,"Vocal Jazz, Big Band",3.82,620,,12
10,Charles Mingus,The Clown,Aug-57,Post-Bop,3.79,3295,,41
11,Billie Holiday,Body and Soul,1957,"Vocal Jazz, Standards",3.81,474,,3
12,Ella Fitzgerald & Louis Armstrong,Ella and Louis Again,Nov-57,"Vocal Jazz, Standards",3.81,480,,7
13,Little Richard,Here's Little Richard,Mar-57,"Rock & Roll, Rhythm & Blues",3.75,3229,,61
